PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,%Activity at 18.75 uM_Mean,%Activity at 18.75 uM_1,%Activity at 18.75 uM_2,%Activity at 18.75 uM_3,%Activity at 18.75 uM_4,Value_1,Value_2,Value_3,Value_4,Mean High,STD Deviation High,Mean Low,STD Deviation Low,PUBCHEM_SMILES
1489,103060607.0,49786708.0,CN(C)CCNC(=O)C1=CC=CC(=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC(=C(C(=C4)F)F)F,Inactive,21.0,,,8.12,9.22,6.94,11.32,5.01,780.12,799.5,762.37,815.86,0,9.73,100,1.01,CN(C)CCNC(=O)C1=CC=CC(=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC(=C(C(=C4)F)F)F
1490,24832769.0,3903461.0,CC1=C(C=C(C=C1)NC(=O)C2=CC3=CC=CC=C3OC2=O)S(=O)(=O)N(C)C,Active,30.0,,,88.26,89.85,88.66,87.01,87.53,97.07,107.1,121.13,116.73,0,9.73,100,1.01,CC1=C(C=C(C=C1)NC(=O)C2=CC3=CC=CC=C3OC2=O)S(=O)(=O)N(C)C
1491,92764838.0,386511.0,CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=CC=C3OC)N=C21.Cl,Inactive,21.0,,,31.26,28.57,32.53,30.54,33.39,616.25,582.63,599.56,575.41,0,9.73,100,1.01,CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=CC=C3OC)N=C21.Cl
1492,17509716.0,3689415.0,COC1=CC=CC(=C1)N(C(C2=CC=CS2)C(=O)NCCC3=CC=CC=C3)C(=O)CCl,Active,30.0,,,98.05,98.56,98.14,98.59,96.91,23.3,26.83,22.98,37.26,0,9.73,100,1.01,COC1=CC=CC(=C1)N(C(C2=CC=CS2)C(=O)NCCC3=CC=CC=C3)C(=O)CCl
1493,89853592.0,22694.0,CCN(CC)CCNC(=O)C(=C1C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,Inactive,21.0,,,31.11,30.25,30.79,32.91,30.49,601.97,597.44,579.42,599.93,0,9.73,100,1.01,CCN(CC)CCNC(=O)C(=C1C(=C(C(=C1Cl)Cl)Cl)Cl)Cl
1494,22408011.0,5986909.0,C1=CC=C(C=C1)S(=O)(=O)/C(=C/C2=CC=C(C=C2)C(F)(F)F)/C3=NC4=CC=CC=C4N3,Active,30.0,,,98.86,98.25,98.05,99.56,99.59,25.93,27.62,14.82,14.57,0,9.73,100,1.01,C1=CC=C(C=C1)S(=O)(=O)/C(=C/C2=CC=C(C=C2)C(F)(F)F)/C3=NC4=CC=CC=C4N3
1495,99356266.0,73427.0,CC(=CCOC1=CC2=C(C=C1)C=CC(=O)O2)C3=CC(=O)C(O3)(C)C,Active,30.0,,,44.18,42.22,41.95,47.3,45.27,500.58,502.89,457.55,474.74,0,9.73,100,1.01,CC(=CCOC1=CC2=C(C=C1)C=CC(=O)O2)C3=CC(=O)C(O3)(C)C
1496,92764343.0,496025.0,CC(=O)OCC1C(C(C(C(O1)OC2C=CC(N3N2C(=O)N(C3=O)C4=CC=CC=C4)C(=O)OC)OC(=O)C)OC(=O)C)OC(=O)C,Active,30.0,,,93.33,92.04,93.17,95.13,92.98,78.49,68.9,52.3,70.52,0,9.73,100,1.01,CC(=O)OCC1C(C(C(C(O1)OC2C=CC(N3N2C(=O)N(C3=O)C4=CC=CC=C4)C(=O)OC)OC(=O)C)OC(=O)C)OC(=O)C
1497,51087929.0,5916626.0,COC1=C(C=CC(=C1)/C=C/C(=O)C2=CC=C(O2)[N+](=O)[O-])O,Active,30.0,,,78.82,75.9,78.05,83.69,77.66,215.26,197.05,149.27,200.29,0,9.73,100,1.01,COC1=C(C=CC(=C1)/C=C/C(=O)C2=CC=C(O2)[N+](=O)[O-])O
1498,24792303.0,907197.0,CC1=C(C(=O)OC2=CC3=C(C=C12)C4=C(O3)CCCC4)CCC(=O)O,Active,30.0,,,82.62,85.07,82.24,81.9,81.27,137.59,161.54,164.41,169.73,0,9.73,100,1.01,CC1=C(C(=O)OC2=CC3=C(C=C12)C4=C(O3)CCCC4)CCC(=O)O
1499,85304289.0,1608349.0,C1=CC=C(C=C1)S(=O)(=O)/C(=C\C2=CC=C(O2)C3=CC(=CC=C3)Cl)/C(=O)NCC4=CN=CC=C4,Inactive,21.0,,,34.45,33.84,31.96,34.84,37.17,571.57,587.51,563.1,543.32,0,9.73,100,1.01,C1=CC=C(C=C1)S(=O)(=O)/C(=C\C2=CC=C(O2)C3=CC(=CC=C3)Cl)/C(=O)NCC4=CN=CC=C4
1500,24785468.0,2189877.0,CC1=CC=CC=C1NC(=O)/C(=C\C2=CC=CC=C2)/C(=O)C,Active,30.0,,,88.29,89.32,86.5,89.74,87.6,101.56,125.48,97.99,116.16,0,9.73,100,1.01,CC1=CC=CC=C1NC(=O)/C(=C\C2=CC=CC=C2)/C(=O)C
1501,856443.0,657803.0,CN1C(=CN=C1C2CC(=O)C3=C(O2)C=CC(=C3)Cl)Cl,Inactive,21.0,,,0.57,4.35,-3.01,5.32,-4.37,821.4,883.8,813.16,895.26,0,9.73,100,1.01,CN1C(=CN=C1C2CC(=O)C3=C(O2)C=CC(=C3)Cl)Cl
1502,17516009.0,7515081.0,C1=CC=C(C(=C1)C(=O)/C=C/C2=CC=C(C=C2)F)Br,Active,30.0,,,43.08,40.29,38.02,47.94,46.06,516.95,536.16,452.08,468.05,0,9.73,100,1.01,C1=CC=C(C(=C1)C(=O)/C=C/C2=CC=C(C=C2)F)Br
1503,121285278.0,51360614.0,C1=CC=C(C(=C1)CC2=C(N=C3N2C=C(C=C3)Cl)C4=CC=CO4)C(F)(F)F,Inactive,21.0,,,1.46,-0.75,-2.74,5.8,3.54,864.65,881.51,809.14,828.25,0,9.73,100,1.01,C1=CC=C(C(=C1)CC2=C(N=C3N2C=C(C=C3)Cl)C4=CC=CO4)C(F)(F)F
1504,26670090.0,2139897.0,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC3=C4C(=C2)C=CC=C4C(=O)NC3=O)C,Inactive,21.0,,,29.06,28.68,31.13,26.05,30.38,615.3,594.53,637.61,600.88,0,9.73,100,1.01,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC3=C4C(=C2)C=CC=C4C(=O)NC3=O)C
1505,92764802.0,6516823.0,CN(C)CC1CC/C(=C/C2=CC(=CC=C2)OC)/C1=O.Cl,Inactive,21.0,,,20.57,16.96,15.04,28.06,22.24,714.62,730.83,620.56,669.82,0,9.73,100,1.01,CN(C)CC1CC/C(=C/C2=CC(=CC=C2)OC)/C1=O.Cl
1506,85146375.0,44142259.0,CN1C=NC=C1C#CC2=C(NC3=CC=CC=C32)C=O,Inactive,21.0,,,37.86,34.59,36.5,40.23,40.14,565.21,549,517.44,518.24,0,9.73,100,1.01,CN1C=NC=C1C#CC2=C(NC3=CC=CC=C32)C=O
1507,26726824.0,5713202.0,CC1=CC(=NC(=N1)S/C=C/C(=O)C2=CC=CC=C2)C,Active,30.0,,,58.61,55.66,35.62,68.94,74.21,386.73,556.45,274.17,229.54,0,9.73,100,1.01,CC1=CC(=NC(=N1)S/C=C/C(=O)C2=CC=CC=C2)C
1508,92763894.0,264884.0,CN(C)C1=NC=NC2=C1C=CN2C3C(C(C(O3)CO)O)O,Inactive,21.0,,,34.36,33.44,30.72,38.52,34.77,574.92,598.03,531.92,563.67,0,9.73,100,1.01,CN(C)C1=NC=NC2=C1C=CN2C3C(C(C(O3)CO)O)O
1509,22409122.0,6214326.0,COC1=CC=CC(=C1)C(=O)/C=C/C2=CC(=C(C=C2)OCC#N)OC,Active,30.0,,,41.61,35.97,37.93,45.84,46.71,553.56,536.93,469.94,462.51,0,9.73,100,1.01,COC1=CC=CC(=C1)C(=O)/C=C/C2=CC(=C(C=C2)OCC#N)OC
1510,4257914.0,1319216.0,C1=CC=C2C(=C1)N=C(O2)SCCS(=O)(=O)C3=NC4=CC=CC=C4S3,Active,30.0,,,70.44,69.65,69.11,71.22,71.77,268.21,272.74,254.88,250.19,0,9.73,100,1.01,C1=CC=C2C(=C1)N=C(O2)SCCS(=O)(=O)C3=NC4=CC=CC=C4S3
1511,24821526.0,3767571.0,CCOC(=O)C(=CC1=CC=C(C=C1)N2C=NC=N2)C(=O)OCC,Active,30.0,,,90.1,89.43,90.82,89.02,91.13,100.6,88.83,104.05,86.18,0,9.73,100,1.01,CCOC(=O)C(=CC1=CC=C(C=C1)N2C=NC=N2)C(=O)OCC
1512,24833647.0,4840549.0,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-])S(=O)(=O)N3CCOCC3,Inactive,21.0,,,38.53,38.02,35.28,39.51,41.32,536.14,559.34,523.57,508.23,0,9.73,100,1.01,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-])S(=O)(=O)N3CCOCC3
1513,14719120.0,7314627.0,CNC1=CC=C(C=C(C1=O)C(=O)/C=C/C2=C(C=CC(=C2)OC)OC)Br,Active,30.0,,,95.28,94.86,95.87,93.62,96.75,54.57,46.08,65.09,38.63,0,9.73,100,1.01,CNC1=CC=C(C=C(C1=O)C(=O)/C=C/C2=C(C=CC(=C2)OC)OC)Br
1514,22410165.0,6217526.0,CC(C)(C)C1=CC=C(C=C1)/C=C(\C2=NC3=CC=CC=C3N2)/S(=O)(=O)C4=CC=CC=C4,Active,30.0,,,97.1,96.99,96.04,98.58,96.79,36.55,44.61,23.1,38.3,0,9.73,100,1.01,CC(C)(C)C1=CC=C(C=C1)/C=C(\C2=NC3=CC=CC=C3N2)/S(=O)(=O)C4=CC=CC=C4
1515,24790101.0,3230027.0,COC1=CC=C(C=C1)C2=NN3C(=C2)N=C(C=C3N4CCCC(C4)O)C5=CC=CC=C5,Inactive,21.0,,,-10.94,-13.76,-12.26,-7.33,-10.4,974.81,962.09,920.37,946.41,0,9.73,100,1.01,COC1=CC=C(C=C1)C2=NN3C(=C2)N=C(C=C3N4CCCC(C4)O)C5=CC=CC=C5
1516,92764520.0,5473208.0,COC1=CC\2=C(C=C1)NC(=O)/C2=C/C3=NC(=CC=C3)/C=C/4\C5=C(C=CC(=C5)OC)NC4=O,Active,30.0,,,98.5,97.68,99.38,97.16,99.77,30.73,16.29,35.12,13.02,0,9.73,100,1.01,COC1=CC\2=C(C=C1)NC(=O)/C2=C/C3=NC(=CC=C3)/C=C/4\C5=C(C=CC(=C5)OC)NC4=O
1517,22416226.0,2245813.0,CCOC(=O)CC1=CSC(=N1)NC(=S)NC(=O)C2=CC=C(C=C2)[N+](=O)[O-],Active,30.0,,,71.44,71.58,71.16,72.09,70.95,251.83,255.41,247.56,257.2,0,9.73,100,1.01,CCOC(=O)CC1=CSC(=N1)NC(=S)NC(=O)C2=CC=C(C=C2)[N+](=O)[O-]
1518,99355783.0,3458.0,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C,Active,30.0,,,41.76,43.6,36.52,44.79,42.13,488.92,548.84,478.84,501.3,0,9.73,100,1.01,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C
1519,24819479.0,2769258.0,COC1=CC=C(C=C1)N2C(=O)C(=C(C=N2)Cl)Cl,Active,30.0,,,95.86,93.53,96.7,96.93,96.3,65.91,39.06,37.04,42.44,0,9.73,100,1.01,COC1=CC=C(C=C1)N2C(=O)C(=C(C=N2)Cl)Cl
1520,92764782.0,5351409.0,CCN1CCC(C(C1)C(=O)/C=C/C2=CC=C(C=C2)C)(/C=C/C3=CC=C(C=C3)C)O.Cl,Inactive,21.0,,,5.88,1.52,0.76,7.88,13.35,845.4,851.85,791.54,745.14,0,9.73,100,1.01,CCN1CCC(C(C1)C(=O)/C=C/C2=CC=C(C=C2)C)(/C=C/C3=CC=C(C=C3)C)O.Cl
1521,26726898.0,2819095.0,COC1=CC=CC(=C1)C(=O)C(=C(SC)SC)C#N,Active,30.0,,,90.56,86.82,91.7,92.23,91.49,122.71,81.4,76.92,83.15,0,9.73,100,1.01,COC1=CC=CC(=C1)C(=O)C(=C(SC)SC)C#N
1522,49667370.0,17578557.0,C1=CC=C2C(=C1)/C(=C\C(=O)C3=CC=C(C=C3)OCC(=O)N)/C(=O)N2,Inactive,21.0,,,34.92,39.86,36.93,33.96,28.91,520.56,545.37,570.58,613.31,0,9.73,100,1.01,C1=CC=C2C(=C1)/C(=C\C(=O)C3=CC=C(C=C3)OCC(=O)N)/C(=O)N2
1523,26731687.0,5713372.0,C1OC2=C(O1)C=C(C=C2)C(=O)/C=C\3/C4=C(C=CC(=C4)Br)NC3=O,Inactive,21.0,,,-32.93,-24.12,-42.54,-30.42,-34.64,1062.58,1218.66,1115.99,1151.73,0,9.73,100,1.01,C1OC2=C(O1)C=C(C=C2)C(=O)/C=C\3/C4=C(C=CC(=C4)Br)NC3=O
1524,26670875.0,6883299.0,CC(C)(C)C1=CC(=NN1)C(=O)N/N=C/C2=CC=C(S2)[N+](=O)[O-],Active,30.0,,,74.57,71.82,73.26,76.07,77.11,249.78,237.6,213.76,205,0,9.73,100,1.01,CC(C)(C)C1=CC(=NN1)C(=O)N/N=C/C2=CC=C(S2)[N+](=O)[O-]
1525,24789043.0,5729167.0,COC1=C(C=C(C=C1)/C=C/C(=O)C23CC4CC(C2)CC(C4)C3)CN5CCOCC5,Inactive,21.0,,,2.47,-0.78,-10.09,10.04,10.72,864.83,943.73,773.23,767.44,0,9.73,100,1.01,COC1=C(C=C(C=C1)/C=C/C(=O)C23CC4CC(C2)CC(C4)C3)CN5CCOCC5
1526,17509531.0,12004871.0,C1CCN2C(=NC3=C(C2=O)C=C(C=C3)NC(=O)C4=C(C=CC(=C4)[N+](=O)[O-])F)C1,Inactive,21.0,,,24.86,12.71,25.34,32.12,29.27,750.61,643.62,586.17,610.25,0,9.73,100,1.01,C1CCN2C(=NC3=C(C2=O)C=C(C=C3)NC(=O)C4=C(C=CC(=C4)[N+](=O)[O-])F)C1
1527,22406254.0,3973468.0,CC1=CC(=C(C=C1)N(CC(=O)NCCC2=CC=C(C=C2)F)S(=O)(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-])C,Inactive,21.0,,,32.08,30.75,29.22,31.83,36.52,597.74,610.72,588.57,548.84,0,9.73,100,1.01,CC1=CC(=C(C=C1)N(CC(=O)NCCC2=CC=C(C=C2)F)S(=O)(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-])C
1528,24825328.0,727588.0,C1=CC=C2C(=C1)C=NN(C2=O)C3=NC4=CC=CC=C4N3,Active,30.0,,,94.5,94.01,94.59,94.12,95.28,61.83,56.92,60.87,51.07,0,9.73,100,1.01,C1=CC=C2C(=C1)C=NN(C2=O)C3=NC4=CC=CC=C4N3
1529,49734315.0,5075478.0,CCC1=CC=C(C=C1)C2=NC(=C(O2)C)CS(=O)CC(=O)NCC3=CC=CC=C3,Active,30.0,,,44.82,44.52,44.69,44.36,45.71,481.06,479.64,482.42,470.99,0,9.73,100,1.01,CCC1=CC=C(C=C1)C2=NC(=C(O2)C)CS(=O)CC(=O)NCC3=CC=CC=C3
1530,49829119.0,6351343.0,CC1=C(C(=O)OC2=CC3=C(C=C12)C4=C(O3)CCCC4)CCC(=O)N5CCC[C@H]5C(=O)O,Active,30.0,,,78.51,78.89,77.12,79.47,78.54,189.87,204.9,184.96,192.91,0,9.73,100,1.01,CC1=C(C(=O)OC2=CC3=C(C=C12)C4=C(O3)CCCC4)CCC(=O)N5CCC[C@H]5C(=O)O
1531,26726697.0,2818993.0,C1=CC=C(C(=C1)C2=C(C(=NC(=C2C#N)SC3=CC=C(C=C3)Cl)N)C#N)Cl,Inactive,21.0,,,15.93,16.57,14.74,19.42,13,717.92,733.37,693.75,748.15,0,9.73,100,1.01,C1=CC=C(C(=C1)C2=C(C(=NC(=C2C#N)SC3=CC=C(C=C3)Cl)N)C#N)Cl
1532,26664932.0,301935.0,CN1CCC2=CC(=C3C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(O3)C=C8CCN7)O4)OC)OC,Inactive,21.0,,,2.52,2.9,0.37,0.67,6.13,833.68,855.09,852.61,806.33,0,9.73,100,1.01,CN1CCC2=CC(=C3C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(O3)C=C8CCN7)O4)OC)OC
1533,24824162.0,2155952.0,CN1C(=O)C2=C(C3=CC=CC=C3N2)N=C1SCC(=O)NC4=CC(=CC=C4)OC,Inactive,21.0,,,0,-2.52,4.54,1.17,-3.2,879.61,819.8,848.38,885.41,0,9.73,100,1.01,CN1C(=O)C2=C(C3=CC=CC=C3N2)N=C1SCC(=O)NC4=CC(=CC=C4)OC
1534,14731460.0,893661.0,CS(=O)(=O)C1=C(C(=CC(=N1)C2=CC=CC=C2)C3=CC=CC=C3)C#N,Inactive,21.0,,,34.12,36.68,41.15,18.49,40.16,547.49,509.61,701.59,518.07,0,9.73,100,1.01,CS(=O)(=O)C1=C(C(=CC(=N1)C2=CC=CC=C2)C3=CC=CC=C3)C#N
1535,17513767.0,9633449.0,CCOC(=O)CC1=CSC(=N1)N/N=C/C2=CC=CC=C2,Inactive,21.0,,,38.08,36.24,42.02,36.45,37.61,551.22,502.26,549.48,539.6,0,9.73,100,1.01,CCOC(=O)CC1=CSC(=N1)N/N=C/C2=CC=CC=C2
1536,14742659.0,818737.0,C1=CC=C2C(=C1)C(=CN2)N(C3=CC=C(C=C3)Cl)C(=O)CCl,Active,30.0,,,96.04,95.74,96.96,96.03,95.42,47.16,36.82,44.73,49.89,0,9.73,100,1.01,C1=CC=C2C(=C1)C(=CN2)N(C3=CC=C(C=C3)Cl)C(=O)CCl
1537,47200648.0,6254652.0,CN1C(=C(C(=O)N(C1=O)C)[N+](=O)[O-])/C=C/C2=CC(=CC=C2)[N+](=O)[O-],Inactive,21.0,,,38.5,39.89,37.54,36.89,39.67,520.31,540.21,545.7,522.14,0,9.73,100,1.01,CN1C(=C(C(=O)N(C1=O)C)[N+](=O)[O-])/C=C/C2=CC(=CC=C2)[N+](=O)[O-]
1538,24797240.0,900837.0,C1=CC=C(C(=C1)COC2=CC=C(C=C2)/C=C/C(=O)O)C#N,Active,30.0,,,89.47,89.79,91.06,88.07,88.95,97.55,86.82,112.15,104.72,0,9.73,100,1.01,C1=CC=C(C(=C1)COC2=CC=C(C=C2)/C=C/C(=O)O)C#N
1539,14733170.0,54690469.0,CC1=CC=C(C=C1)/C=C/C(=C/2\C3CC(N(C2=O)C)(OC4=CC=CC=C34)C)/O,Inactive,21.0,,,37,28.73,33.3,49.69,36.25,614.87,576.11,437.26,551.12,0,9.73,100,1.01,CC1=CC=C(C=C1)/C=C/C(=C/2\C3CC(N(C2=O)C)(OC4=CC=CC=C34)C)/O
1540,17412783.0,2262197.0,CCOC(=O)C(=CC1=CC(=C(C=C1)OCC2=CC=C(C=C2)[N+](=O)[O-])OC)C(=O)OCC,Active,30.0,,,98.15,97.56,98.61,97.89,98.53,31.75,22.86,28.96,23.49,0,9.73,100,1.01,CCOC(=O)C(=CC1=CC(=C(C=C1)OCC2=CC=C(C=C2)[N+](=O)[O-])OC)C(=O)OCC
1541,3713781.0,2099658.0,CC1=C(SC2=C1C(=NC=N2)SC3=NN=NN3C4=CC=C(C=C4)Cl)C,Inactive,21.0,,,1.23,-5.06,-7.67,9.18,8.46,901.15,923.26,780.45,786.59,0,9.73,100,1.01,CC1=C(SC2=C1C(=NC=N2)SC3=NN=NN3C4=CC=C(C=C4)Cl)C
1542,14723300.0,1092907.0,CC1=C(C=CC(=C1)S(=O)(=O)N2CCC3=CC=CC=C3C2)OCC(=O)OC,Inactive,21.0,,,19.56,8.16,15.13,29.84,25.13,789.16,730.12,605.42,645.4,0,9.73,100,1.01,CC1=C(C=CC(=C1)S(=O)(=O)N2CCC3=CC=CC=C3C2)OCC(=O)OC
1543,99495590.0,4061190.0,CCOC(=O)C1=C(N=C2N(C1C3=CC(=CC=C3)OC)C(=O)C(=CC4=CC(=C(C(=C4)Cl)OCC(=O)O)Cl)S2)C,Active,30.0,,,46.1,33.36,44.3,48.15,58.6,575.62,482.92,450.32,361.8,0,9.73,100,1.01,CCOC(=O)C1=C(N=C2N(C1C3=CC(=CC=C3)OC)C(=O)C(=CC4=CC(=C(C(=C4)Cl)OCC(=O)O)Cl)S2)C
1544,14737300.0,9550980.0,COC1=C(C=C(C=C1)CN2C(=O)C=C(SC2=NC3=CC=C(C=C3)F)C(=O)OC)OC,Active,30.0,,,68.18,65.14,58,77.04,72.56,306.38,366.93,205.6,243.57,0,9.73,100,1.01,COC1=C(C=C(C=C1)CN2C(=O)C=C(SC2=NC3=CC=C(C=C3)F)C(=O)OC)OC
1545,17431571.0,1422298.0,C1=CC2=C(C(=C1)OC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])N=CC=C2,Inactive,21.0,,,13.82,9.36,9.89,17.63,18.4,778.97,774.44,708.9,702.34,0,9.73,100,1.01,C1=CC2=C(C(=C1)OC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])N=CC=C2
1546,24828671.0,6533395.0,CC1CCCCC1NC(=O)/C(=C/C=C/C2=CC=CC=C2[N+](=O)[O-])/C#N,Active,30.0,,,50.28,73.26,70,50.83,7.01,237.59,265.24,427.66,798.84,0,9.73,100,1.01,CC1CCCCC1NC(=O)/C(=C/C=C/C2=CC=CC=C2[N+](=O)[O-])/C#N
1547,17505317.0,12004580.0,C[C@]12[C@@H]3CC[C@@H]4[C@H]([C@@]3([C@@H](C[C@@H]1C(CC[C@@H]2O)(C)C)O)C(=O)C4=C)O,Active,30.0,,,93.79,93.8,92.49,94.15,94.73,63.63,74.7,60.61,55.69,0,9.73,100,1.01,C[C@]12[C@@H]3CC[C@@H]4[C@H]([C@@]3([C@@H](C[C@@H]1C(CC[C@@H]2O)(C)C)O)C(=O)C4=C)O
1548,85146204.0,44142148.0,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)S(=O)(=O)C,Inactive,21.0,,,31.88,29.49,28.79,31.89,37.34,608.4,614.36,588.06,541.91,0,9.73,100,1.01,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)S(=O)(=O)C
1549,22402691.0,6526832.0,CC1=NN=NN1/C(=C\C2=CC=CC=C2)/C(=O)OCC(=O)N3CC4(CC3CC(C4)(C)C)C,Active,30.0,,,62.04,58.92,62.45,63.58,63.22,359.13,329.17,319.65,322.66,0,9.73,100,1.01,CC1=NN=NN1/C(=C\C2=CC=CC=C2)/C(=O)OCC(=O)N3CC4(CC3CC(C4)(C)C)C
1550,99356140.0,282082.0,C1=CC=C(C=C1)C2C(C23C4=CC=CC=C4C5=CC=CC=C35)[N+](=O)[O-],Active,30.0,,,42.64,39.04,42.24,42.12,47.17,527.54,500.42,501.41,458.68,0,9.73,100,1.01,C1=CC=C(C=C1)C2C(C23C4=CC=CC=C4C5=CC=CC=C35)[N+](=O)[O-]
1551,22414258.0,6263696.0,CC(C)(C)C1=CC=C(C=C1)C(=O)/C=C/C2=CC=CN(C2=S)CC=C,Active,30.0,,,60.84,53.27,55.84,66.09,68.14,406.92,385.17,298.31,281.01,0,9.73,100,1.01,CC(C)(C)C1=CC=C(C=C1)C(=O)/C=C/C2=CC=CN(C2=S)CC=C
1552,47199350.0,2989697.0,CS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=CC=C(C=C2)OC(F)F)Cl,Active,30.0,,,98.21,98.45,96.67,99.47,98.26,24.21,39.26,15.54,25.77,0,9.73,100,1.01,CS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=CC=C(C=C2)OC(F)F)Cl
1553,17504722.0,12004530.0,C[C@]12[C@H](CCC([C@H]1C[C@H]([C@]34[C@H]2C[C@@H]([C@H]([C@H]3O)C(=C)C4=O)O)O)(C)C)O,Inactive,21.0,,,36.52,32.8,33.55,40.97,38.77,580.42,574.01,511.17,529.8,0,9.73,100,1.01,C[C@]12[C@H](CCC([C@H]1C[C@H]([C@]34[C@H]2C[C@@H]([C@H]([C@H]3O)C(=C)C4=O)O)O)(C)C)O
1554,92763803.0,436058.0,CC1=CC(=C(C=C1)C(=O)C(=C)CN(C)C)C,Active,30.0,,,96.17,93.58,94.79,97.53,98.78,65.43,55.2,31.95,21.41,0,9.73,100,1.01,CC1=CC(=C(C=C1)C(=O)C(=C)CN(C)C)C
1555,17514219.0,3562364.0,CC1=CC=C(C=C1)S(=O)(=O)N2CC(C(=N2)C(=O)C3CO3)C4=CC(=CC=C4)[N+](=O)[O-],Active,30.0,,,85.3,77.74,87.03,91.4,85.05,199.69,120.92,83.89,137.76,0,9.73,100,1.01,CC1=CC=C(C=C1)S(=O)(=O)N2CC(C(=N2)C(=O)C3CO3)C4=CC(=CC=C4)[N+](=O)[O-]
1556,24810073.0,3154698.0,C1CCN(C1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])Cl,Active,30.0,,,50.16,46.44,49.22,50.58,54.41,464.84,441.24,429.72,397.33,0,9.73,100,1.01,C1CCN(C1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])Cl
1557,22413887.0,902188.0,COC1=CC=CC=C1C2=CC(=C(C(=O)O2)C#N)SC,Inactive,21.0,,,33.22,33.29,30.62,34.81,34.16,576.25,598.81,563.35,568.87,0,9.73,100,1.01,COC1=CC=CC=C1C2=CC(=C(C(=O)O2)C#N)SC
1558,17514216.0,6510725.0,CC(C)CC(=O)/C(=C\C1=C(C=C(C=C1)Cl)Cl)/N2C=NC=N2,Active,30.0,,,93.94,94.6,95.3,93.7,92.15,56.83,50.86,64.46,77.6,0,9.73,100,1.01,CC(C)CC(=O)/C(=C\C1=C(C=C(C=C1)Cl)Cl)/N2C=NC=N2
1559,22401749.0,6866727.0,CC1=CC(=NN1)C2=NNC(=S)N2/N=C/C(=C/C3=CC=CC=C3)/Br,Inactive,21.0,,,22.76,5.02,59.8,-22.3,48.54,815.76,351.66,1047.16,447.03,0,9.73,100,1.01,CC1=CC(=NN1)C2=NNC(=S)N2/N=C/C(=C/C3=CC=CC=C3)/Br
1560,24791460.0,4272178.0,C1COCCN1C2=CC(=C(C3=NON=C23)[N+](=O)[O-])NC4=CC=CC=C4O,Inactive,21.0,,,22.52,23.86,20.88,21.9,23.45,656.09,681.33,672.76,659.6,0,9.73,100,1.01,C1COCCN1C2=CC(=C(C3=NON=C23)[N+](=O)[O-])NC4=CC=CC=C4O
1561,92764811.0,5386939.0,CC[N+]1(CCC(C(C1)C(=O)/C=C/C2=CC=CC=C2)(/C=C/C3=CC=CC=C3)O)C.[Br-],Active,30.0,,,45.77,36.68,46.2,51.75,48.45,547.49,466.84,419.8,447.77,0,9.73,100,1.01,CC[N+]1(CCC(C(C1)C(=O)/C=C/C2=CC=CC=C2)(/C=C/C3=CC=CC=C3)O)C.[Br-]
1562,14722899.0,135401872.0,C1=CC=C(C(=C1)CN2C3=C(C(=O)NC(=N3)C(=O)NCC4=CC=CO4)N=N2)Cl,Active,30.0,,,57.14,59.3,51.43,64.08,53.74,355.89,422.53,315.37,402.95,0,9.73,100,1.01,C1=CC=C(C(=C1)CN2C3=C(C(=O)NC(=N3)C(=O)NCC4=CC=CO4)N=N2)Cl
